product_name,original_url,currency,brand_name,quantity_measurement,product_image,price_per_unit,price,is_available,old_price,discount,product_hash,product_id,discount_start,discount_end,category
Maxi Smrznuti grasak Maxi 450g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Grashak/Smrznuti-grasak-Maxi-450g/p/7344112,RSD,,450 gr,https://static.maxi.rs/medias/sys_master/products/h18/hfc/9189927288862.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,233.31 rsd/Kg,10499,True,,False,342052e0cfac26cb9b3e593c5d9926c1,7344112,,,Smrznuti proizvodi
Frikom Smrznuti grasak Frikom 400g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Grashak/Smrznuti-grasak-Frikom-400g/p/7641082,RSD,,400 gr,https://static.maxi.rs/medias/sys_master/h3c/ha1/9005556072478.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,407.48 rsd/Kg,16299,True,,False,015c7e4d5c09b55a4b76bf0c5e11b1db,7641082,,,Smrznuti proizvodi
Frikom Grasak 700g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Grashak/Grasak-700g/p/7624172,RSD,,700 gr,https://static.maxi.rs/medias/sys_master/h45/h18/9005566558238.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,328.55 rsd/Kg,22999,True,,False,69204176fe7b69ee5105cc8450b48004,7624172,,,Smrznuti proizvodi
Vrenje Kvasac svez pekarski Vrenje 50g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuta-testa-i-pica/Kvasac-svez-pekarski-Vrenje-50g/p/7435001,RSD,,50 gr,https://static.maxi.rs/medias/sys_master/h53/h87/8927730171934.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,1399.8 rsd/Kg,6999,True,,False,2162a07d74db6ce0242e14b97ac12036,7435001,,,Smrznuti proizvodi
Frikom Smrznuti spanac u briketima Frikom 400g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Spanacj/Smrznuti-spanac-u-briketima-Frikom-400g/p/7187554,RSD,,400 gr,https://static.maxi.rs/medias/sys_master/h75/he3/9005555417118.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,574.98 rsd/Kg,22999,True,,False,645ad2ff5f8a0c618e7f4a99eadf4f08,7187554,,,Smrznuti proizvodi
Friglo Smrznuta zuta boranija Friglo 400g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Grashak/Smrznuta-zuta-boranija-Friglo-400g/p/7725356,RSD,,400 gr,https://static.maxi.rs/medias/sys_master/products/h11/h4f/9158934102046.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,217.50 rsd/Kg,8700,True,,False,272158503a55406afdb06dc414390208,7725356,,,Smrznuti proizvodi
Maxi Smrz.zu-zu Maxi 1kg,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuta-testa-i-pica/Slana-testa/Smrz-zu-zu-Maxi-1kg/p/7202384,RSD,,1 Kg,https://static.maxi.rs/medias/sys_master/products/h75/h1b/9181381918750.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,230.99 rsd/Kg,23099,True,,False,fb4fb0c30a47961cc9768c29108b0ee5,7202384,,,Smrznuti proizvodi
Maxi Smrznuta boranija zuta Maxi 450g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Boranija/Smrznuta-boranija-zuta-Maxi-450g/p/7344121,RSD,,450 gr,https://static.maxi.rs/medias/sys_master/products/h4c/hc8/9188732796958.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,166.64 rsd/Kg,7499,True,,False,037ef8fb864499cb9b2cd291e3a65673,7344121,,,Smrznuti proizvodi
Flora Smrznuti edamame Flora  450g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Ostalo-povrcje/Smrznuti-edamame-Flora-450g/p/7563219,RSD,,450 gr,https://static.maxi.rs/medias/sys_master/products/hfd/hdb/9143327653918.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,533.31 rsd/Kg,23999,True,,False,a422f6e57f2c85179c78fc1d34fae69a,7563219,,,Smrznuti proizvodi
Frikom Ruska salata 700g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Meshano-povrcje/Ruska-salata-700g/p/7624133,RSD,,700 gr,https://static.maxi.rs/medias/sys_master/hec/hf2/9059065757726.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,442.84 rsd/Kg,30999,True,,False,b556315f885c5146ee026fa1ffa39bab,7624133,,,Smrznuti proizvodi
